row,col,population,withdrawal_ratio,behavioral_energy,mean_stress,stress_variance,reproduction_rate,occupancy_pressure,local_clustering,behavioral_momentum,phase_state,is_extinct
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
0,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
1,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
2,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
3,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
4,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,expansion,True
